meeting date,track,race number,start time,distance,age restrictions,class restrictions,weight restrictions,race prizemoney,sex restrictions,weight type,race name,jockeys can claim,horse name,horse age,horse sex,horse sire,horse dam,horse number,horse jockey,horse barrier,horse trainer,horse weight,horse claim,horse last10,horse record,horse record distance,horse record track,horse record track distance,horse record firm,horse record good,horse record soft,horse record heavy,horse record jumps,horse record first up,horse record second up,horse prize money,form barrier,form class,form distance,form jockey,form margin,form meeting date,form name,form other runners,form position,form price,form time,form track,form track condition,form weight,horse record synthetic,meeting id, race id, horse id, horse trainer id, horse jockey id, form trainer id, form jockey id,prizemoney,sectional,prizemoney won,country
01/08/2026 00:00:00,Belmont Park,1,01-Aug-2026 12:23,1200,3yo+,BenchMark 72+,54,Of $80000  -  1st  $43840 | 2nd  $14880| 3rd  $7040| 4th  $3120| 5th  $2320,,Handicap,Mrs Mac's (Bm72+),Apprentices Can Claim,Speed Dream,9,Gelding,Dream Ahead,Deyaala,2,J Whiting,1,R J Piercey,59,0,1429x00017x0,53:6-13-6,15: 0-3-3,12: 3-4-1,3: 0-1-1,0:0-0-0,41:5-10-5,12:1-3-1,0:0-0-0,0:0-0-0,10:0-1-1,8:1-1-1,$463 833,10,BenchMark 72+,1200,J Whiting,11.8,18/07/26,Budget Car And Truck Rental (Bm72+),1-Urquharts Bluff,13,151,01:12.54,Belmont Park,Soft 7,59,0:0-0-0,241452,1356904,941009,10261,10067,10261,10067,$80000,35.30sec 600m,$0,AUS
01/08/2026 00:00:00,Belmont Park,1,01-Aug-2026 12:23,1200,3yo+,BenchMark 72+,54,Of $80000  -  1st  $43840 | 2nd  $14880| 3rd  $7040| 4th  $3120| 5th  $2320,,Handicap,Mrs Mac's (Bm72+),Apprentices Can Claim,Speed Dream,9,Gelding,Dream Ahead,Deyaala,2,J Whiting,1,R J Piercey,59,0,1429x00017x0,53:6-13-6,15: 0-3-3,12: 3-4-1,3: 0-1-1,0:0-0-0,41:5-10-5,12:1-3-1,0:0-0-0,0:0-0-0,10:0-1-1,8:1-1-1,$463 833,5,Listed,1200,J Whiting,8.5,13/12/25,Black Heart Bart Stakes,1-Smooth Chino,7,61,01:08.87,Ascot,Good 4,55,0:0-0-0,235977,1316114,941009,10261,10067,10261,10067,$125000,34.03sec 600m,$2250,AUS
01/08/2026 00:00:00,Belmont Park,1,01-Aug-2026 12:23,1200,3yo+,BenchMark 72+,54,Of $80000  -  1st  $43840 | 2nd  $14880| 3rd  $7040| 4th  $3120| 5th  $2320,,Handicap,Mrs Mac's (Bm72+),Apprentices Can Claim,Speed Dream,9,Gelding,Dream Ahead,Deyaala,2,J Whiting,1,R J Piercey,59,0,1429x00017x0,53:6-13-6,15: 0-3-3,12: 3-4-1,3: 0-1-1,0:0-0-0,41:5-10-5,12:1-3-1,0:0-0-0,0:0-0-0,10:0-1-1,8:1-1-1,$463 833,4,BenchMark 66+,1400,J Whiting,0.2,29/11/25,Quayclean (Bm66+),2-Awesome Boy,1,51,01:23.90,Ascot,Good 4,60,0:0-0-0,235666,1313767,941009,10261,10067,10261,10067,$80000,35.34sec 600m,$43840,AUS
01/08/2026 00:00:00,Belmont Park,1,01-Aug-2026 12:23,1200,3yo+,BenchMark 72+,54,Of $80000  -  1st  $43840 | 2nd  $14880| 3rd  $7040| 4th  $3120| 5th  $2320,,Handicap,Mrs Mac's (Bm72+),Apprentices Can Claim,Speed Dream,9,Gelding,Dream Ahead,Deyaala,2,J Whiting,1,R J Piercey,59,0,1429x00017x0,53:6-13-6,15: 0-3-3,12: 3-4-1,3: 0-1-1,0:0-0-0,41:5-10-5,12:1-3-1,0:0-0-0,0:0-0-0,10:0-1-1,8:1-1-1,$463 833,5,BenchMark 72+,1400,J Whiting,5.4,22/11/25,Schweppes (Bm72+),1-Noteworthy,10,71,01:23.41,Ascot,Good 4,58,0:0-0-0,235506,1312520,941009,10261,10067,10261,10067,$80000,35.15sec 600m,$1440,AUS
01/08/2026 00:00:00,Belmont Park,1,01-Aug-2026 12:23,1200,3yo+,BenchMark 72+,54,Of $80000  -  1st  $43840 | 2nd  $14880| 3rd  $7040| 4th  $3120| 5th  $2320,,Handicap,Mrs Mac's (Bm72+),Apprentices Can Claim,Speed Dream,9,Gelding,Dream Ahead,Deyaala,2,J Whiting,1,R J Piercey,59,0,1429x00017x0,53:6-13-6,15: 0-3-3,12: 3-4-1,3: 0-1-1,0:0-0-0,41:5-10-5,12:1-3-1,0:0-0-0,0:0-0-0,10:0-1-1,8:1-1-1,$463 833,4,BenchMark 78+,1200,J Whiting,2.7,08/11/25,MCA Polytrack (Bm78+),1-Sky Duke,10,101,01:08.95,Ascot,Good 4,55,0:0-0-0,235181,1309911,941009,10261,10067,10261,10067,$80000,34.62sec 600m,$1440,AUS
01/08/2026 00:00:00,Belmont Park,1,01-Aug-2026 12:23,1200,3yo+,BenchMark 72+,54,Of $80000  -  1st  $43840 | 2nd  $14880| 3rd  $7040| 4th  $3120| 5th  $2320,,Handicap,Mrs Mac's (Bm72+),Apprentices Can Claim,Speed Dream,9,Gelding,Dream Ahead,Deyaala,2,J Whiting,1,R J Piercey,59,0,1429x00017x0,53:6-13-6,15: 0-3-3,12: 3-4-1,3: 0-1-1,0:0-0-0,41:5-10-5,12:1-3-1,0:0-0-0,0:0-0-0,10:0-1-1,8:1-1-1,$463 833,10,BenchMark 72+,1400,J Whiting,8.5,25/10/25,MCA Polytrack (Bm72+),1-Asphalt,11,101,01:23.54,Ascot,Soft 5,59,0:0-0-0,234704,1306932,941009,10261,10067,10261,10067,$80000,34.71sec 600m,$0,AUS
01/08/2026 00:00:00,Belmont Park,1,01-Aug-2026 12:23,1200,3yo+,BenchMark 72+,54,Of $80000  -  1st  $43840 | 2nd  $14880| 3rd  $7040| 4th  $3120| 5th  $2320,,Handicap,Mrs Mac's (Bm72+),Apprentices Can Claim,Speed Dream,9,Gelding,Dream Ahead,Deyaala,2,J Whiting,1,R J Piercey,59,0,1429x00017x0,53:6-13-6,15: 0-3-3,12: 3-4-1,3: 0-1-1,0:0-0-0,41:5-10-5,12:1-3-1,0:0-0-0,0:0-0-0,10:0-1-1,8:1-1-1,$463 833,10,BenchMark 72+,1400,J Whiting,2.5,28/06/25,Beaufine Stakes @ Pinjarra Park 5th July (Bm72+),1-Drakaina,9,17,01:24.45,Pinjarra,Good 4,60,0:0-0-0,231375,1280992,941009,10261,10067,10261,10067,$80000,00.00sec 0m,$1440,AUS
01/08/2026 00:00:00,Belmont Park,1,01-Aug-2026 12:23,1200,3yo+,BenchMark 72+,54,Of $80000  -  1st  $43840 | 2nd  $14880| 3rd  $7040| 4th  $3120| 5th  $2320,,Handicap,Mrs Mac's (Bm72+),Apprentices Can Claim,Speed Dream,9,Gelding,Dream Ahead,Deyaala,2,J Whiting,1,R J Piercey,59,0,1429x00017x0,53:6-13-6,15: 0-3-3,12: 3-4-1,3: 0-1-1,0:0-0-0,41:5-10-5,12:1-3-1,0:0-0-0,0:0-0-0,10:0-1-1,8:1-1-1,$463 833,1,BenchMark 78+,1400,J Whiting,0.3,07/06/25,Hygain (Bm78+),1-Luvnwar,2,13,01:25.36,Pinjarra Scarpside,Good 4,54.5,0:0-0-0,230760,1276269,941009,10261,10067,10261,10067,$80000,34.59sec 600m,$14880,AUS
01/08/2026 00:00:00,Belmont Park,1,01-Aug-2026 12:23,1200,3yo+,BenchMark 72+,54,Of $80000  -  1st  $43840 | 2nd  $14880| 3rd  $7040| 4th  $3120| 5th  $2320,,Handicap,Mrs Mac's (Bm72+),Apprentices Can Claim,Speed Dream,9,Gelding,Dream Ahead,Deyaala,2,J Whiting,1,R J Piercey,59,0,1429x00017x0,53:6-13-6,15: 0-3-3,12: 3-4-1,3: 0-1-1,0:0-0-0,41:5-10-5,12:1-3-1,0:0-0-0,0:0-0-0,10:0-1-1,8:1-1-1,$463 833,15,BenchMark 66+,1400,J Whiting,0.9,31/05/25,Hahn Super Dry 3.5 (Bm66+),1-Dun With The Blues,4,10,01:25.12,Pinjarra Scarpside,Soft 6,60.5,0:0-0-0,230559,1274711,941009,10261,10067,10261,10067,$80000,00.00sec 0m,$3120,AUS
01/08/2026 00:00:00,Belmont Park,1,01-Aug-2026 12:23,1200,3yo+,BenchMark 72+,54,Of $80000  -  1st  $43840 | 2nd  $14880| 3rd  $7040| 4th  $3120| 5th  $2320,,Handicap,Mrs Mac's (Bm72+),Apprentices Can Claim,Speed Dream,9,Gelding,Dream Ahead,Deyaala,2,J Whiting,1,R J Piercey,59,0,1429x00017x0,53:6-13-6,15: 0-3-3,12: 3-4-1,3: 0-1-1,0:0-0-0,41:5-10-5,12:1-3-1,0:0-0-0,0:0-0-0,10:0-1-1,8:1-1-1,$463 833,7,BenchMark 66+,1400,J Noske,0.1,17/05/25,Kitt Logistics (Bm66+),2-Correct Choice,1,5.5,01:25.05,Belmont Park,Good 4,60,0:0-0-0,230088,1271425,941009,10261,10067,10261,14158,$80000,35.92sec 600m,$43840,AUS
